airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
"Go Air, IndiGo",G8-397 | G8-110 | 6E-6177 | 6E-6455,06:30,Mumbai,31 hrs 10 mins ,13:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 5,315","3 stop via Lucknow,Ahmedabad,Chandigarh",2020-10-05,0,2020-10-04,6
Vistara,UK-841 | UK-848,12:30,Mumbai,04 hrs 35 mins ,17:05,New Delhi,"₹ 5,874",1 stop via Goa,2020-10-05,0,2020-10-04,6
Vistara,UK-621 | UK-674,07:30,Mumbai,09 hrs 25 mins ,16:55,New Delhi,"₹ 4,006",1 stop via Varanasi,2020-10-05,0,2020-10-04,6
Air India,AI-669 | AI-424,12:00,Mumbai,11 hrs ,23:00,New Delhi,"₹ 4,006","2 stop via Bhubaneswar,Surat",2020-10-05,0,2020-10-04,6
Air India,AI-669 | AI-473,12:00,Mumbai,12 hrs 40 mins ,00:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,531","2 stop via Bhubaneswar,Raipur",2020-10-05,0,2020-10-04,6
IndiGo,6E-639 | 6E-6177 | 6E-6455,19:35,Mumbai,18 hrs 05 mins ,13:40+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,006","2 stop via Ahmedabad,Chandigarh",2020-10-05,0,2020-10-04,6
IndiGo,6E-5355 | 6E-2195,06:00,Mumbai,05 hrs 25 mins ,11:25,New Delhi,"₹ 4,006",1 stop via Raipur,2020-10-05,0,2020-10-04,6
"IndiGo, Spicejet",6E-639 | SG-971 | SG-988,19:35,Mumbai,25 hrs 50 mins ,21:25+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 4,531","2 stop via Ahmedabad,Varanasi",2020-10-05,0,2020-10-04,6
"Go Air, Spicejet",G8-322 | G8-715 | SG-6636 | SG-8937,21:35,Mumbai,35 hrs 40 mins ,09:15+2 DAYArrival : New Delhi07 Oct 2020,New Delhi,"₹ 5,315","3 stop via New Delhi,Ahmedabad,Pune",2020-10-05,0,2020-10-04,6
"Go Air, Spicejet",G8-322 | G8-715 | SG-6636 | SG-8184,21:35,Mumbai,45 hrs 05 mins ,18:40+2 DAYArrival : New Delhi07 Oct 2020,New Delhi,"₹ 5,874","3 stop via New Delhi,Ahmedabad,Pune",2020-10-05,0,2020-10-04,6
IndiGo,6E-5914 | 6E-2038,12:45,Mumbai,06 hrs 55 mins ,19:40,New Delhi,"₹ 4,006",1 stop via Allahabad,2020-10-05,0,2020-10-04,6
Spicejet,SG-2642,14:30,Mumbai,04 hrs 40 mins ,19:10,New Delhi,"₹ 4,006",1 stop via Jabalpur,2020-10-05,0,2020-10-04,6
Spicejet,SG-771 | SG-8129,10:35,Mumbai,10 hrs 15 mins ,20:50,New Delhi,"₹ 4,531",1 stop via Chennai,2020-10-05,0,2020-10-04,6
Spicejet,SG-771 | SG-8104,10:35,Mumbai,23 hrs 20 mins ,09:55+1 DAYArrival : New Delhi06 Oct 2020,New Delhi,"₹ 5,315",1 stop via Chennai,2020-10-05,0,2020-10-04,6
Air India,AI-640 | AI-503,12:00,Mumbai,09 hrs 25 mins ,21:25,New Delhi,"₹ 5,874",1 stop via Bengaluru,2020-10-05,0,2020-10-04,6
Vistara,UK-863 | UK-820,08:15,Mumbai,12 hrs 15 mins ,20:30,New Delhi,"₹ 4,006",1 stop via Bengaluru,2020-10-05,0,2020-10-04,6
IndiGo,6E-5015 | 6E-423,06:15,Mumbai,06 hrs 30 mins ,12:45,New Delhi,"₹ 4,006",1 stop via Varanasi,2020-10-05,0,2020-10-04,6
