airline,flight_code,departure_time,departure_city,flight_duration,arrival_time,arrival_city,flight_cost,number_of_stops,departure_date,departure_day,booking_date,booking_day
IndiGo,6E-733 | 6E-228,13:40,New Delhi,06 hrs 40 mins ,20:20,Kolkata,"₹ 3,956",1 stop via Indore,2020-11-24,1,2020-11-09,0
IndiGo,6E-943 | 6E-6157,12:25,New Delhi,06 hrs 55 mins ,19:20,Kolkata,"₹ 4,854",1 stop via Lucknow,2020-11-24,1,2020-11-09,0
IndiGo,6E-653 | 6E-6376,13:50,New Delhi,08 hrs 55 mins ,22:45,Kolkata,"₹ 3,956",1 stop via Ahmedabad,2020-11-24,1,2020-11-09,0
IndiGo,6E-2051 | 6E-6955,06:55,New Delhi,09 hrs ,15:55,Kolkata,"₹ 3,956",1 stop via Visakhapatnam,2020-11-24,1,2020-11-09,0
IndiGo,6E-2407 | 6E-6135,09:30,New Delhi,09 hrs 10 mins ,18:40,Kolkata,"₹ 4,349",1 stop via Ahmedabad,2020-11-24,1,2020-11-09,0
Vistara,UK-711,17:50,New Delhi,03 hrs 45 mins ,21:35,Kolkata,"₹ 3,956",1 stop via Bhubaneswar,2020-11-24,1,2020-11-09,0
IndiGo,6E-107 | 6E-6107,17:20,New Delhi,03 hrs 55 mins ,21:15,Kolkata,"₹ 3,956",1 stop via Patna,2020-11-24,1,2020-11-09,0
IndiGo,6E-494 | 6E-634,05:45,New Delhi,05 hrs 10 mins ,10:55,Kolkata,"₹ 4,349",1 stop via Patna,2020-11-24,1,2020-11-09,0
IndiGo,6E-2912 | 6E-7265,17:10,New Delhi,05 hrs 45 mins ,22:55,Kolkata,"₹ 3,956",1 stop via Raipur,2020-11-24,1,2020-11-09,0
IndiGo,6E-2136 | 6E-355,09:15,New Delhi,06 hrs 50 mins ,16:05,Kolkata,"₹ 3,956",1 stop via Varanasi,2020-11-24,1,2020-11-09,0
IndiGo,6E-203 | 6E-6107,14:10,New Delhi,07 hrs 05 mins ,21:15,Kolkata,"₹ 4,349",1 stop via Patna,2020-11-24,1,2020-11-09,0
IndiGo,6E-6494 | 6E-634,03:20,New Delhi,07 hrs 35 mins ,10:55,Kolkata,"₹ 3,956",1 stop via Patna,2020-11-24,1,2020-11-09,0
IndiGo,6E-509 | 6E-7265,15:05,New Delhi,07 hrs 50 mins ,22:55,Kolkata,"₹ 3,956",1 stop via Raipur,2020-11-24,1,2020-11-09,0
IndiGo,6E-114 | 6E-303,10:55,New Delhi,08 hrs 10 mins ,19:05,Kolkata,"₹ 4,349",1 stop via Jaipur,2020-11-24,1,2020-11-09,0
IndiGo,6E-251 | 6E-349,05:05,New Delhi,07 hrs ,12:05,Kolkata,"₹ 3,956",1 stop via Guwahati,2020-11-24,1,2020-11-09,0
IndiGo,6E-889 | 6E-488,12:10,New Delhi,05 hrs 55 mins ,18:05,Kolkata,"₹ 3,956",1 stop via Agartala,2020-11-24,1,2020-11-09,0
IndiGo,6E-2192 | 6E-6292,14:15,New Delhi,06 hrs 20 mins ,20:35,Kolkata,"₹ 4,349",1 stop via Guwahati,2020-11-24,1,2020-11-09,0
IndiGo,6E-889 | 6E-443,12:10,New Delhi,07 hrs 45 mins ,19:55,Kolkata,"₹ 3,956",1 stop via Agartala,2020-11-24,1,2020-11-09,0
Go Air,G8-173 | G8-394,07:15,New Delhi,07 hrs 50 mins ,15:05,Kolkata,"₹ 3,956",1 stop via Pune,2020-11-24,1,2020-11-09,0
Go Air,G8-395 | G8-511,11:35,New Delhi,11 hrs 40 mins ,23:15,Kolkata,"₹ 4,349",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Go Air,G8-336 | G8-513,20:35,New Delhi,11 hrs 55 mins ,08:30+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,008",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Go Air,G8-324 | G8-513,18:40,New Delhi,13 hrs 50 mins ,08:30+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,008",1 stop via Mumbai,2020-11-24,1,2020-11-09,0
Go Air,G8-113 | G8-832,06:00,New Delhi,14 hrs 25 mins ,20:25,Kolkata,"₹ 4,532",1 stop via Bengaluru,2020-11-24,1,2020-11-09,0
Go Air,G8-718 | G8-532,18:15,New Delhi,14 hrs 30 mins ,08:45+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,008",1 stop via Ahmedabad,2020-11-24,1,2020-11-09,0
Go Air,G8-715 | G8-702,06:00,New Delhi,14 hrs 40 mins ,20:40,Kolkata,"₹ 4,008","2 stop via Ahmedabad,Jaipur",2020-11-24,1,2020-11-09,0
Go Air,G8-404 | G8-830,14:30,New Delhi,17 hrs 20 mins ,07:50+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,532","2 stop via Varanasi,Bengaluru",2020-11-24,1,2020-11-09,0
IndiGo,6E-826 | 6E-7306,08:05,New Delhi,06 hrs 35 mins ,14:40,Kolkata,"₹ 4,008",1 stop via Gorakhpur,2020-11-24,1,2020-11-09,0
IndiGo,6E-2019 | 6E-6353,10:10,New Delhi,05 hrs 40 mins ,15:50,Kolkata,"₹ 4,008",1 stop via Imphal,2020-11-24,1,2020-11-09,0
Spicejet,SG-8903 | SG-277,10:55,New Delhi,06 hrs 50 mins ,17:45,Kolkata,"₹ 4,532",1 stop via Bagdogra,2020-11-24,1,2020-11-09,0
Spicejet,SG-287 | SG-277,05:45,New Delhi,12 hrs ,17:45,Kolkata,"₹ 4,008",1 stop via Bagdogra,2020-11-24,1,2020-11-09,0
Spicejet,SG-8903 | SG-3322,10:55,New Delhi,21 hrs 55 mins ,08:50+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,008",1 stop via Bagdogra,2020-11-24,1,2020-11-09,0
Spicejet,SG-8152 | SG-3724,10:20,New Delhi,06 hrs 10 mins ,16:30,Kolkata,"₹ 4,532",1 stop via Guwahati,2020-11-24,1,2020-11-09,0
Spicejet,SG-8721 | SG-3508,06:25,New Delhi,17 hrs ,23:25,Kolkata,"₹ 4,008",1 stop via Patna,2020-11-24,1,2020-11-09,0
Spicejet,SG-8480 | SG-3508,15:55,New Delhi,07 hrs 30 mins ,23:25,Kolkata,"₹ 4,008",1 stop via Patna,2020-11-24,1,2020-11-09,0
Go Air,G8-135 | G8-515,06:45,New Delhi,08 hrs 25 mins ,15:10,Kolkata,"₹ 4,532",1 stop via Patna,2020-11-24,1,2020-11-09,0
Air India,AI-558 | AI-529,10:00,New Delhi,08 hrs 10 mins ,18:10,Kolkata,"₹ 4,008",1 stop via Hyderabad,2020-11-24,1,2020-11-09,0
Air India,AI-560 | AI-529,07:15,New Delhi,10 hrs 55 mins ,18:10,Kolkata,"₹ 4,008",1 stop via Hyderabad,2020-11-24,1,2020-11-09,0
Spicejet,SG-8128 | SG-278,10:55,New Delhi,10 hrs 25 mins ,21:20,Kolkata,"₹ 4,532",1 stop via Chennai,2020-11-24,1,2020-11-09,0
Spicejet,SG-8105 | SG-503,21:30,New Delhi,10 hrs 45 mins ,08:15+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,008",1 stop via Chennai,2020-11-24,1,2020-11-09,0
Spicejet,SG-8128 | SG-503,10:55,New Delhi,21 hrs 20 mins ,08:15+1 DAYArrival : Kolkata25 Nov 2020,Kolkata,"₹ 4,008",1 stop via Chennai,2020-11-24,1,2020-11-09,0
